set_size,task_duration_ms,nominal_runtime,performance,difference_s,difference_rel
10000,1,10.007,10.031,0.024,0.239832
20000,1,20.014,20.058,0.044,0.219846
50000,1,50.027,50.156,0.129,0.257861
100000,1,100.056,100.383,0.327,0.326817
500000,1,500.258,502.129,1.871,0.374007
1000000,1,1000.73,1004.53,3.799,0.379624
