set_size,task_duration_ms,nominal_runtime,performance,difference_s,difference_rel
1000,2,2.001,2.006,0.005,0.249875
1000,5,5,5.003,0.003,0.06
1000,10,10.001,10.004,0.003,0.029997
1000,20,20.001,20.016,0.015,0.0749963
1000,50,50,50.007,0.007,0.014
1000,100,100,100.007,0.007,0.007
1000,500,500,500.012,0.012,0.0024
1000,1000,1000,1000.02,0.018,0.00179999
